,0,1,2,3,4,5,6
Experiment,01_baseline,02_pixel_composites,03_seasonal_composites,04_pixel_and_seasonal_comp,05_support_fmask_dlt,06_support_fmask_dlt_dem,07_aux_task
MAE [m] (Val),4.19,4.19,3.59,3.56,3.65,3.59,3.55
MAE [m] (Test),4.19,4.35,3.58,3.6,3.7,3.64,3.59
nMAE [%] (Val),20.229999542236328,20.239999771118164,16.049999237060547,16.719999313354492,16.829999923706055,16.700000762939453,16.940000534057617
nMAE [%] (Test),19.950000762939453,20.920000076293945,17.709999084472656,16.260000228881836,16.440000534057617,16.350000381469727,16.600000381469727
RMSE [m] (Val),5.760000228881836,5.760000228881836,4.769999980926514,4.909999847412109,4.980000019073486,4.940000057220459,4.920000076293945
RMSE [m] (Test),5.710000038146973,5.949999809265137,4.809999942779541,4.860000133514404,4.940000057220459,4.900000095367432,4.880000114440918
Bias [m] (Val),-0.23000000417232513,-0.15000000596046448,-0.029999999329447746,-0.11999999731779099,-0.019999999552965164,0.009999999776482582,0.1599999964237213
Bias [m] (Test),0.1899999976158142,0.1899999976158142,-0.029999999329447746,-0.25999999046325684,-0.23000000417232513,-0.15000000596046448,0.019999999552965164
R2 [-] (Val),0.7099999785423279,0.7099999785423279,0.7900000214576721,0.7900000214576721,0.7799999713897705,0.7799999713897705,0.7900000214576721
R2 [-] (Test),0.699999988079071,0.6800000071525574,0.8100000023841858,0.7799999713897705,0.7699999809265137,0.7699999809265137,0.7799999713897705
F1 FMASK (Test),,,,,,,0.9821
F1 DLT (Test),,,,,,,0.9471
"MAE [m] (Val, >5m)",4.32,4.38,3.7,3.71,3.78,3.72,3.7
"MAE [m] (Test, >5m)",4.29,4.5,3.75,3.73,3.82,3.75,3.72
"RMSE [m] (Val, >5m)",5.820000171661377,5.900000095367432,4.860000133514404,5.03000020980835,5.099999904632568,5.070000171661377,5.050000190734863
"RMSE [m] (Test, >5m)",5.769999980926514,6.050000190734863,4.960000038146973,4.960000038146973,5.059999942779541,5.0,5.0
"Bias [m] (Val, >5m)",-0.5199999809265137,-0.3799999952316284,-0.23999999463558197,-0.33000001311302185,-0.25999999046325684,-0.2199999988079071,-0.009999999776482582
"Bias [m] (Test, >5m)",-0.019999999552965164,0.029999999329447746,-0.25999999046325684,-0.44999998807907104,-0.4300000071525574,-0.3499999940395355,-0.12999999523162842
"R2 [-] (Val, >5m)",0.4000000059604645,0.38999998569488525,0.5099999904632568,0.5299999713897705,0.5199999809265137,0.5199999809265137,0.5299999713897705
"R2 [-] (Test, >5m)",0.46000000834465027,0.4000000059604645,0.5600000023841858,0.5400000214576721,0.5199999809265137,0.5299999713897705,0.5299999713897705
spectral,"{'seasons': ['summer'], 'quantiles': ['Q50']}","{'seasons': ['summer'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q50']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}","{'seasons': ['spring', 'summer', 'autumn'], 'quantiles': ['Q25', 'Q50', 'Q75']}"
aux_inputs,['FMASK'],['FMASK'],['FMASK'],['FMASK'],"['FMASK', 'DLT']","['FMASK', 'DLT', 'DEM']",[]
strategy,all_in_model,all_in_model,all_in_model,all_in_model,all_in_model,all_in_model,aux_task
outputs,"{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'loss': 'huber'}}","{'canopy_height': {'target': 'CHM_norm', 'out_channels': 1, 'loss': 'huber', 'weight': 1.0, 'activation': None}, 'tree_cover': {'target': 'FMASK', 'out_channels': 1, 'loss': 'bce', 'weight': 0.3, 'activation': None}, 'leaf_type': {'target': 'DLT', 'out_channels': 3, 'loss': 'crossentropy', 'weight': 0.2, 'activation': None}}"
exp,01_baseline,02_pixel_composites,03_seasonal_composites,04_pixel_and_seasonal_comp,05_support_fmask_dlt,06_support_fmask_dlt_dem,07_aux_task
seed,54,54,54,54,54,54,54
patch_size,32,32,32,32,32,32,32
num_bands,15,15,15,15,15,15,15
batch_size,128,128,128,128,128,128,128
learning_rate,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
weight_decay,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
scheduler_type,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau,ReduceLROnPlateau
scheduler_patience,15,15,15,15,15,15,15
scheduler_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5
scheduler_min_lr,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
early_stopping_patience,75,75,75,75,75,75,75
epochs,500,500,500,500,500,500,500
huber_delta,1.35,1.35,1.35,1.35,1.35,1.35,1.35
device,mps,mps,mps,mps,mps,mps,mps
epochs_ran,371.0,,,,496.0,,
